Abend,tarde
Abfahrt,salida
Abflug,despegue
Absender,remitente
Achtung,atención
Adresse,dirección
Alter,edad
Anfang,principio
Angebot,oferta
Ankunft,llegada
Anmeldung,inscripción
Anrede,tratamiento
Anruf,llamada
Ansage,anuncio
Anschluss,conexión
Ansein,estar encendido
Antwort,respuesta
Anzeige,anuncio
Apartment,apartamento
Apfel,manzana
Appetit,apetito
Arbeit,trabajo
Arm,brazo
Art,tipo
Arzt,médico
Aufgabe,tarea
Aufsein,estar abierto
Aufzug,ascensor
Auge,ojo
Ausflug,excursión
Ausgang,salida
Auskunft,información
Ausland,extranjero
Ausländer,extranjero
Aussage,declaración
Aussein,estar apagado
Ausweis,documento de identidad
Auto,coche
Autobahn,autopista
Automat,cajero automático
Baby,bebé
Bad,baño
Bahn,tren
Bahnhof,estación de tren
Bahnsteig,andén
Balkon,balcón
Ball,pelota
Banane,plátano
Bank,banco
Bar,en efectivo
Bauch,vientre
Baum,árbol
Bein,pierna
Beispiel,ejemplo
Bekannte,conocido
Beruf,profesión
Bett,cama
Bier,cerveza
Bild,imagen
Birne,pera
Bleistift,lápiz
Blick,vista
Blume,flor
Brief,carta
Briefmark,sello
Brot,pan
Bruder,hermano
Buch,libro
Buchstabe,letra
Bus,autobús
Butter,mantequilla
Bäckerei,panadería
Büro,oficina
Café,cafetería
Chef,jefe
Circa,aproximadamente
Computer,ordenador
Dame,señora
Danke,gracias
Datum,fecha
Deutsch_grundform,spanisch_grundform
Ding,cosa
Doktor,doctor
Doppelzimmer,habitación doble
Dorf,pueblo
Drucker,impresora
Durchsage,anuncio
Dusche,ducha
E-mail,correo electrónico
Ecke,esquina
Ehefrau,esposa
Ehemann,esposo
Ei,huevo
Eingang,entrada
Einladung,invitación
Eintritt,entrada
Einzelzimmer,habitación individual
Eis,hielo
Eltern,padres
Empfänger,destinatario
Ende,final
Entschuldigung,disculpa
Erwachsene,adulto
Euro,euro
Fahrer,conductor
Fahrkarte,billete
Fahrrad,bicicleta
Familie,familia
Familienname,apellido
Familienstand,estado civil
Farbe,color
Fax,fax
Fehler,error
Feier,celebración
Fenster,ventana
Ferien,vacaciones
Fernsehen,ver la tele
Feuer,fuego
Fieber,fiebre
Film,película
Firma,empresa
Flasche,botella
Fleisch,carne
Flughafen,aeropuerto
Flugzeug,avión
Formular,formulario
Foto,foto
Frage,pregunta
Frau,mujer
Freizeit,tiempo libre
Fremd,extranjero
Freund,amigo
Frites,patatas fritas
Frühstück,desayuno
Fuß,pie
Fußball,fútbol
Führung,visita guiada
Gast,invitado
Geburtsjahr,año de nacimiento
Geburtsort,lugar de nacimiento
Geburtstag,cumpleaños
Geld,dinero
Gemüse,verdura
Gepäck,equipaje
Geradeaus,todo recto
Geschenk,regalo
Geschwister,hermanos
Geschäft,tienda
Gesicht,cara
Gespräch,conversación
Getränk,bebida
Glas,vaso
Gleis,vía
Glück,suerte
Glückwunsch,felicitación
Gott,Dios
Grille,hacer una barbacoa
Großmutter,abuela
Großvater,abuelo
Gruppe,grupo
Gruß,saludo
Größe,talla
Haar,pelo
Halbpension,media pensión
Halle,vestíbulo
Hals,cuello
Haltestelle,parada
Hand,mano
Handy,móvil
Haus,casa
Hausaufgabe,deberes
Hausfrau,ama de casa
Hausmann,amo de casa
Heimat,patria
Herd,cocina
Herr,señor
Herz,corazón
Hilfe,ayuda
Hobby,afición
Hochzeit,boda
Hose,pantalones
Hotel,hotel
Hund,perro
Hunger,hambre
Idee,idea
Information,información
Internet,internet
Jack,chaqueta
Jahr,año
Job,trabajo
Jugendliche,joven
Jung,chico
Kaffee,café
Karte,tarjeta
Kartoffel,patata
Kasse,caja
Katze,gato
Kind,niño
Kindergart,guardería
Kino,cine
Kiosk,quiosco
Kleidung,ropa
Koffer,maleta
Kollege,colega
Konto,cuenta
Kopf,cabeza
Kreditkarte,tarjeta de crédito
Kugelschreiber,bolígrafo
Kunde,cliente
Kurs,curso
Küche,cocina
Kühlschrank,nevera
Land,país
Lebensmittel,alimento
Lehrer,profesor
Lehrerin,profesora
Letzt,último
Licht,luz
Liebling,favorito
Lied,canción
Lokal,bar
Luft,aire
Lösung,solución
Mama,mamá
Mann,hombre
Markt,mercado
Maschine,máquina
Meer,mar
Mensch,persona
Miete,alquiler
Milch,leche
Mitte,centro
Moment,momento
Mund,boca
Musik,música
Mutter,madre
Mädchen,chica
Möbel,muebles
Name,nombre
Nase,nariz
Nummer,número
Nächst,próximo
Obst,fruta
Ohr,oreja
Oma,abuela
