Ahnung,idea
Alkohol,alcohol
Ampel,semáforo
Angetan,atraído
Angst,miedo
Apotheke,farmacia
Arbeitsplatz,puesto de trabajo
Artikel,artículo
Ausbildung,formación
Ausländisch,extranjero
Automatisch,automático
Besuch,visita
Blut,sangre
Boden,suelo
Boot,bote
Box,caja
Chance,oportunidad
Cousin,primo
Cousine,prima
Dach,techo
Dasselbe,lo mismo
Druck,presión
E-book,libro electrónico
Einkaufszentrum,centro comercial
Energie,energía
Enkel,nieto
Erde,tierra
Erdgeschoss,planta baja
Erfahrung,experiencia
Erfolg,éxito
Ergebnis,resultado
Erlaubnis,permiso
Ermäßigung,descuento
Fabrik,fabrik
Fach,asignatura
Fahrplan,horario
Fall,en cualquier/ningún caso
Fan,fan
Fernseher,televisor
Festival,festival
Fett,graso
Fiel,cayó
Finger,dedo
Flohmarkt,mercadillo
Flug,vuelo
Flur,pasillo
Fluss,río
Fort,fuera
Fotoapparat,cámara de fotos
Gabel,tenedor
Garage,garaje
Gedanke,pensamiento
Gegenteil,contrario
Geldbörse,monedero
Gericht,plato
Gerät,aparato
Geschichte,historia
Geschirr,vajilla
Gesundheit,salud
Gewicht,peso
Gewitter,tormenta
Gitarre,guitarra
Gold,oro
Grippe,gripe
Grund,razón
Handtuch,toalla
Hauptstadt,capital
Haushalt,hogar
Haut,piel
Heft,cuaderno
Heizung,calefacción
Hemd,camisa
Her,hacia aquí/allá
Herein,adentro
Himmel,cielo
Hoffentlich,ojalá
Homepage,página web
Hut,sombrero
Insel,isla
Instrument,instrumento
Interesse,interés
Interview,entrevista
Irgendwas,algo
Jean,vaqueros
Jemand,alguien
Jugendherberge,albergue juvenil
Kalender,calendario
Kamera,cámara
Kaufhaus,grandes almacenes
Keller,sótano
Kenntnis,conocimientos
Kerl,tipo
Kette,cadena
Kirche,iglesia
Klappe,funcionar
Klasse,clase
Kleid,vestido
Klinik,klinik
Kontakt,contacto
Konzert,concierto
Kosmetik,cosmética
Kraft,energía
Krankenhaus,hospital
Krankenkasse,seguro médico
Krankheit,enfermedad
Kredit,crédito
Kreuzung,cruce
Krieg,krieg
Krimi,novela negra
Kultur,cultura
Kunst,arte
Käse,queso
Körper,cuerpo
Lampe,lámpara
Landschaft,paisaje
Laptop,portátil
Leidtun,sentir
Link,enlace
Lob,lob
Lohn,lohn
Lust,gana
Löffel,cuchara
Lüge,mentira
Mailbox,buzón de voz
Manch,alguno
Mannschaft,equipo
Mantel,abrigo
Mauer,mauer
Medikament,medicamento
Meinung,opinión
Meisten,la mayoría de las veces
Menge,cantidad
Messe,feria
Messer,cuchillo
Mineralwasser,agua mineral
Mitarbeiter,empleado
Mittel,medio
Mobiltelefon,teléfono móvil
Mode,moda
Motor,motor
Motorroller,scooter
Motto,motto
Museum,museo
Müll,basura
Mütze,gorro
Nachbar,vecino
Nachricht,noticia
Natur,naturaleza
Niemandem,a nadie
Not,emergencia
Notiz,nota
Nudel,pasta
Nähe,cerca
Orang,naranja
Paket,paquete
Parfüm,perfume
Passwort,contraseña
Pferd,caballo
Pflanze,planta
Portion,porción
Poster,póster
Postkarte,postal
Produkt,producto
Programm,programa
Projekt,proyecto
Pullover,jersey
Qualität,calidad
Quatsch,tonterías
Quiz,concurso
Radio,radio
Rathaus,ayuntamiento
Recht,tener razón
Rede,discurso
Reihe,fila
Reinigung,limpieza
Rentner,jubilado
Respekt,respekt
Rest,resto
Rezept,receta
Rind,ternera
Ring,anillo
Rock,falda
Rolle,rolle
Rose,rosa
Rucksack,mochila
Ruhe,tranquilidad
Rundgang,recorrido
Rätsel,acertijo
Sauber,limpio
Schere,tijeras
Schiff,barco
Schirm,paraguas
Schlafzimmer,dormitorio
Schloss,castillo
Schmerz,dolor
Schnee,nieve
Schneien,nevar
Schokolade,chocolate
Schriftlich,por escrito
Schuld,schuld
Schwein,cerdo
Schädlich,dañino
Sekunde,segundo
Sendung,programa
Service,servicio
Signal,señal
Sinn,sinn
Situation,situación
Ski,esquí
Sonnig,soleado
Sorge,preocupación
Spaziergang,paseo
Spaß,diversión
Speisekarte,carta
Sportplatz,campo de deportes
Sprechstunde,horario de consulta
Stadtplan,plano de la ciudad
Star,estrella
Stiefel,bota
Stift,lápiz
Stimme,voz
Stockwerk,planta
Strand,playa
Stress,estrés
Studie,studie
Stuhl,silla
Stück,trozo
Super,genial
Supermarkt,supermercado
Suppe,sopa
T-shirt,camiseta
Tablet,tableta
Tablette,pastilla
Tafel,pizarra
Taschengeld,paga
Taß,taza
Team,equipo
Technik,technik
Teller,plato
Tennis,tenis
Theater,teatro
Tier,animal
Tipp,consejo
Titel,título
Tod,muerte
Topf,olla
Tort,tarta
Tour,excursión
Tourist,turista
Training,entrenamiento
Traum,sueño
Tschüs,adiós
Umzug,mudanza
Unfall,accidente
Unterkunft,alojamiento
Unternehmen,hacer
Unterschied,diferencia
Veranstaltung,evento
Verkauf,venta
Verkehr,tráfico
Verkehrsmittel,medio de transporte
Verspätung,retraso
Vertrag,contrato
Vogel,pájaro
Vorschlag,sugerencia
Wald,bosque
Wand,wand
Ware,mercancía
Webseite,página web
Weg,ido
Werkstatt,taller
Wettbewerb,concurso
Witz,chiste
Wohnzimmer,salón
Wolke,nube
Workshop,taller
Wunsch,deseo
Wurst,salchicha
Zahn,diente
Zeitschrift,revista
Zelt,tienda de campaña
Zentrum,centro
Zettel,nota
Zeugnis,certificado
Ziel,meta
Zirkus,circo
Zitrone,limón
Zoo,zoo
Zukunft,futuro
abschließen,terminar
als,que
antwortbogen,hoja de respuestas
arbeitslos,desempleado
aufpassen,prestar atención
ausgeben,gastar
austauschen,intercambiar
außer,excepto
bedanken,agradecer
beeilen,darse prisa
beenden,terminar
beraten,aconsejar
berichten,informar
beschweren,quejarse
bestehen,aprobar
bestätigen,confirmar
bewerben,solicitar
bisher,hasta ahora
bloß,solo
couch,sofá
daran,en eso
darauf,en eso
darum,por eso
darüber,sobre eso
davon,de eso
dazu,además
der,cuyo
deutlich,claramente
dran,en ello
drauf,encima
drinnen,dentro
drüber,encima
dumm,tonto
dunkel,oscuro
dünn,delgado
echt,de verdad
ehren,honrado
eigen,propio
eigentlich,en realidad
einig,de acuerdo
einpacken,empaquetar
eintragen,inscribir
einverstanden,de acuerdo
einzeln,individual
einziehen,mudarse
eng,estrecho
erinnern,recordar
erkälten,resfriado
erreichen,llegar
erst,primero
erwarten,esperar
etwas,algo
falls,en caso de
fantastisch,fantástico
faul,vago
fit,en forma
fleißig,trabajador
folgen,seguir
fotografieren,fotografiar
freiwillig,voluntario
freundlich,amable
frisch,fresco
froh,alegre
fundsachen,objetos perdidos
furchtbar,terrible
